YEAR,XX, STATE,DISTRICT,UNCONTESTED
1988,FL,Florida,2,Republican
1988,FL,Florida,3,Democrat
1988,FL,Florida,5,Republican
1988,FL,Florida,7,Democrat
1988,FL,Florida,9,Republican
1988,FL,Florida,12,Republican
1988,FL,Florida,17,Democrat
1988,FL,Florida,18,Republican
1988,GA,Georgia,3,Democrat
1988,GA,Georgia,8,Democrat
1988,HI,Hawaii,2,Democrat
1988,IL,Illinois,7,Democrat
1988,KS,Kansas,1,Republican
1988,KY,Kentucky,1,Democrat
1988,KY,Kentucky,5,Republican
1988,LA,Louisiana,6,Republican
1988,LA,Louisiana,7,Democrat
1988,MA,Massachusetts,3,Democrat
1988,MA,Massachusetts,5,Democrat
1988,MA,Massachusetts,7,Democrat
1988,MA,Massachusetts,9,Democrat
1988,MD,Maryland,7,Democrat
1988,NC,North Carolina,2,Democrat
1988,NC,North Carolina,3,Democrat
1988,NJ,New Jersey,8,Democrat
1988,NM,New Mexico,2,Republican
1988,NY,New York,6,Democrat
1988,NY,New York,7,Democrat
1988,NY,New York,8,Democrat
1988,NY,New York,9,Democrat
1988,NY,New York,16,Democrat
1988,NY,New York,25,Republican
1988,NY,New York,28,Democrat
1988,NY,New York,33,Democrat
1988,NY,New York,34,Republican
1988,OH,Ohio,4,Republican
1988,OK,Oklahoma,3,Democrat
1988,OK,Oklahoma,4,Democrat
1988,OR,Oregon,3,Democrat
1988,PA,Pennsylvania,9,Republican
1988,PA,Pennsylvania,11,Democrat
1988,PA,Pennsylvania,12,Democrat
1988,PA,Pennsylvania,17,Republican
1988,PA,Pennsylvania,20,Democrat
1988,TN,Tennessee,4,Democrat
1988,TN,Tennessee,5,Democrat
1988,TN,Tennessee,9,Democrat
1988,TX,Texas,2,Democrat
1988,TX,Texas,8,Republican
1988,TX,Texas,9,Democrat
1988,TX,Texas,10,Democrat
1988,TX,Texas,11,Democrat
1988,TX,Texas,12,Democrat
1988,TX,Texas,15,Democrat
1988,TX,Texas,16,Democrat
1988,TX,Texas,17,Democrat
1988,TX,Texas,18,Democrat
1988,TX,Texas,21,Republican
1988,TX,Texas,24,Democrat
1988,TX,Texas,27,Democrat
1988,VA,Virginia,3,Republican
1988,VA,Virginia,4,Democrat
1988,VA,Virginia,7,Republican
1988,WA,Washington,2,Democrat
1988,WI,Wisconsin,4,Democrat
1988,WV,West Virginia,2,Democrat
1990,AL,Alabama,1,Republican
1990,AL,Alabama,4,Democrat
1990,AL,Alabama,6,Democrat
1990,AZ,Arizona,1,Republican
1990,CA,California,18,Democrat
1990,CA,California,43,Republican
1990,CA,California,45,Republican
1990,FL,Florida,8,Republican
1990,FL,Florida,10,Republican
1990,FL,Florida,12,Republican
1990,FL,Florida,13,Republican
1990,FL,Florida,15,Republican
1990,FL,Florida,16,Democrat
1990,IA,Iowa,1,Republican
1990,IA,Iowa,3,Democrat
1990,IA,Iowa,4,Democrat
1990,IL,Illinois,8,Democrat
1990,IL,Illinois,12,Republican
1990,IL,Illinois,15,Republican
1990,IL,Illinois,18,Republican
1990,IL,Illinois,22,Democrat
1990,KY,Kentucky,1,Democrat
1990,KY,Kentucky,5,Republican
1990,KY,Kentucky,6,Republican
1990,LA,Louisiana,1,Republican
1990,LA,Louisiana,2,Democrat
1990,LA,Louisiana,3,Democrat
1990,LA,Louisiana,6,Republican
1990,MA,Massachusetts,2,Democrat
1990,MA,Massachusetts,3,Democrat
1990,MA,Massachusetts,7,Democrat
1990,MA,Massachusetts,9,Democrat
1990,MA,Massachusetts,11,Democrat
1990,MI,Michigan,6,Democrat
1990,MS,Mississippi,3,Democrat
1990,NJ,New Jersey,2,Democrat
1990,NJ,New Jersey,8,Democrat
1990,NM,New Mexico,2,Republican
1990,NY,New York,7,Democrat
1990,NY,New York,11,Democrat
1990,NY,New York,12,Democrat
1990,NY,New York,16,Democrat
1990,NY,New York,25,Republican
1990,NY,New York,26,Republican
1990,OH,Ohio,3,Democrat
1990,OR,Oregon,4,Democrat
1990,PA,Pennsylvania,9,Republican
1990,PA,Pennsylvania,10,Republican
1990,PA,Pennsylvania,11,Democrat
1990,PA,Pennsylvania,17,Republican
1990,PA,Pennsylvania,19,Republican
1990,PA,Pennsylvania,21,Republican
1990,SC,South Carolina,2,Republican
1990,SC,South Carolina,5,Democrat
1990,SC,South Carolina,6,Democrat
1990,TN,Tennessee,1,Republican
1990,TN,Tennessee,2,Republican
1990,TN,Tennessee,5,Democrat
1990,TN,Tennessee,8,Democrat
1990,TX,Texas,3,Republican
1990,TX,Texas,4,Democrat
1990,TX,Texas,7,Republican
1990,TX,Texas,8,Republican
1990,TX,Texas,15,Democrat
1990,TX,Texas,16,Democrat
1990,TX,Texas,17,Democrat
1990,TX,Texas,18,Democrat
1990,TX,Texas,19,Republican
1990,TX,Texas,20,Democrat
1990,TX,Texas,24,Democrat
1990,TX,Texas,25,Democrat
1990,TX,Texas,27,Democrat
1990,VA,Virginia,2,Democrat
1990,VA,Virginia,4,Democrat
1990,VA,Virginia,5,Democrat
1990,VA,Virginia,6,Democrat
1990,VA,Virginia,9,Democrat
1990,WI,Wisconsin,1,Democrat
1990,WI,Wisconsin,6,Republican
1990,WI,Wisconsin,9,Republican
1990,WV,West Virginia,3,Democrat
1992,CA,California,18,Democrat
1992,CA,California,32,Democrat
1992,CA,California,37,Democrat
1992,FL,Florida,14,Republican
1992,FL,Florida,17,Democrat
1992,FL,Florida,21,Republican
1992,IA,Iowa,5,Republican
1992,LA,Louisiana,1,Republican
1992,LA,Louisiana,2,Democrat
1992,LA,Louisiana,3,Democrat
1992,LA,Louisiana,4,Democrat
1992,LA,Louisiana,6,Republican
1992,LA,Louisiana,7,Democrat
1992,MA,Massachusetts,8,Democrat
1992,MI,Michigan,7,Republican
1992,NY,New York,9,Democrat
1992,NY,New York,10,Democrat
1992,NY,New York,11,Democrat
1992,NY,New York,15,Democrat
1992,OH,Ohio,5,Republican
1992,PA,Pennsylvania,5,Republican
1992,PA,Pennsylvania,9,Republican
1992,PA,Pennsylvania,10,Republican
1992,PA,Pennsylvania,12,Democrat
1992,SC,South Carolina,2,Republican
1992,TN,Tennessee,8,Democrat
1992,TX,Texas,1,Democrat
1992,TX,Texas,3,Republican
1992,TX,Texas,7,Republican
1992,TX,Texas,20,Democrat
1992,TX,Texas,28,Democrat
1992,VA,Virginia,7,Republican
1992,WV,West Virginia,1,Democrat
1994,AL,Alabama,4,Democrat
1994,CA,California,33,Democrat
1994,CA,California,37,Democrat
1994,CO,Colorado,5,Republican
1994,FL,Florida,4,Republican
1994,FL,Florida,6,Republican
1994,FL,Florida,8,Republican
1994,FL,Florida,9,Republican
1994,FL,Florida,10,Republican
1994,FL,Florida,13,Republican
1994,FL,Florida,14,Republican
1994,FL,Florida,17,Democrat
1994,FL,Florida,18,Republican
1994,FL,Florida,21,Republican
1994,FL,Florida,23,Democrat
1994,IL,Illinois,2,Democrat
1994,LA,Louisiana,1,Republican
1994,LA,Louisiana,2,Democrat
1994,LA,Louisiana,3,Republican
1994,LA,Louisiana,4,Democrat
1994,LA,Louisiana,5,Republican
1994,LA,Louisiana,6,Republican
1994,LA,Louisiana,7,Democrat
1994,MA,Massachusetts,1,Democrat
1994,MA,Massachusetts,4,Democrat
1994,MA,Massachusetts,8,Democrat
1994,NC,North Carolina,6,Republican
1994,NY,New York,7,Democrat
1994,NY,New York,12,Democrat
1994,NY,New York,15,Democrat
1994,NY,New York,16,Democrat
1994,NY,New York,31,Republican
1994,OH,Ohio,4,Republican
1994,OH,Ohio,7,Republican
1994,OH,Ohio,8,Republican
1994,OK,Oklahoma,5,Republican
1994,PA,Pennsylvania,5,Republican
1994,PA,Pennsylvania,9,Republican
1994,PA,Pennsylvania,17,Republican
1994,PA,Pennsylvania,19,Republican
1994,SC,South Carolina,2,Republican
1994,TN,Tennessee,2,Republican
1994,TX,Texas,3,Republican
1994,TX,Texas,7,Republican
1994,TX,Texas,8,Republican
1994,TX,Texas,19,Republican
1994,TX,Texas,21,Republican
1994,VA,Virginia,6,Republican
1994,VA,Virginia,7,Republican
1994,VA,Virginia,10,Republican
1994,VT,Vermont,1,Other
1994,WI,Wisconsin,6,Republican
1994,WI,Wisconsin,9,Republican
1996,FL,Florida,4,Republican
1996,FL,Florida,18,Republican
1996,FL,Florida,21,Republican
1996,GA,Georgia,5,Democrat
1996,IL,Illinois,2,Democrat
1996,IL,Illinois,4,Democrat
1996,KY,Kentucky,5,Republican
1996,LA,Louisiana,1,Republican
1996,LA,Louisiana,2,Democrat
1996,LA,Louisiana,3,Republican
1996,LA,Louisiana,4,Republican
1996,LA,Louisiana,6,Republican
1996,LA,Louisiana,7,Democrat
1996,MA,Massachusetts,5,Democrat
1996,OH,Ohio,17,Democrat
1996,SC,South Carolina,1,Republican
1996,SC,South Carolina,2,Republican
1996,TX,Texas,6,Republican
1996,VA,Virginia,1,Republican
1996,WV,West Virginia,1,Democrat
1996,WV,West Virginia,3,Democrat
1998,AL,Alabama,1,Republican
1998,AL,Alabama,7,Democrat
1998,AR,Arkansas,1,Democrat
1998,AR,Arkansas,3,Republican
